species;BM_eq
Abies alba;1
Acer campestre;4
Acer pseudoplatanus;1
Alnus glutinosa;5
Betula pendula;5
Carpinus betulus;4
Fagus sylvatica;5
Fraxinus excelsior;1
Juniperus thurifera;1
Larix decidua;2
Picea abies;6
Pinus halepensis;6
Pinus nigra laricio;6
Pinus nigra nigra;6
Pinus pinaster;6
Pinus pinea;1
Pinus sylvestris;6
Pinus uncinata;3
Populus tremula;4
Prunus padus;3
Quercus faginea;6
Quercus ilex;5
Quercus petraea;1
Quercus pubescens;4
Quercus pyrenaica;6
Quercus robur;6
Quercus suber;6
Salix caprea;4
